TICKER,Nome da Empresa,Data da Análise,Preço de Fechamento,data,ano,PL,QNT,EBIT,AT,VM
PETR3,PETROBRAS,29/12/2021,30.95,2021-12-29,2021,3643.85,130.4449693,2929.64,9767.09,4037.271799835
PETR4,PETROBRAS,29/12/2021,28.54,2021-12-29,2021,3643.85,130.4449693,2929.64,9767.09,3722.899423822
PETZ3,PETZ,29/12/2021,16.4,2021-12-29,2021,18.40572,4.616428849999999,1.3567,36.47129,75.70943313999999
PRIO3,PETRORIO,29/12/2021,20.05,2021-12-29,2021,98.92017,8.82646385,39.16213,203.0252,176.9706001925
QUAL3,QUALICORP,29/12/2021,16.02,2021-12-29,2021,13.56594,2.84014325,3.67181,45.12028,45.499094865
RADL3,RAIADROGASIL,29/12/2021,23.78,2021-12-29,2021,54.02941,16.5193,18.40145,171.85306,392.82895400000007
RAIL3,RUMO S.A.,29/12/2021,17.5,2021-12-29,2021,154.1045,18.54158791,29.9571,459.51745,324.477788425
RDOR3,REDE D OR,29/12/2021,44.35,2021-12-29,2021,230.7697,22.892925899999998,38.5276,924.90681,1015.301263665
RENT3,LOCALIZA,29/12/2021,52.1,2021-12-29,2021,205.70605,9.84159,45.29339,656.56631,512.746839
SANB11,SANTANDER BR,29/12/2021,30.39,2021-12-29,2021,1106.80176,74.98531,193.75548,9854.50829,2278.8035709
SBSP3,SABESP,29/12/2021,39.85,2021-12-29,2021,273.33533,6.835098690000001,46.20613,572.07765,272.3786827965
SOMA3,GRUPO SOMA,29/12/2021,12.52,2021-12-29,2021,74.04929,7.847473730000001,4.46799,106.38039,98.2503710996
SULA11,SUL AMERICA,29/12/2021,25.73,2021-12-29,2021,83.67119,12.775338099999999,-7.13666,302.19218,328.709449313
SUZB3,SUZANO S.A.,29/12/2021,59.04,2021-12-29,2021,331.66365,13.61263584,219.38413,1331.97968,803.6900199936
TAEE11,TAESA,29/12/2021,36.2,2021-12-29,2021,65.70476,10.33497,18.76401,173.09081,374.125914
TIMS3,TIM,29/12/2021,12.89,2021-12-29,2021,253.97365,24.20816645,32.21503,564.08367,312.04326554050004
TOTS3,TOTVS,29/12/2021,27.89,2021-12-29,2021,45.84849,6.17183181,6.41517,106.16193,172.1323891809
